Questionnaire,q_id,q_id_orig,count
Cities 2019,4.6a-6-26,4.6a-6-26,300
Cities 2019,4.6a-2-28,4.6a-2-28,300
Cities 2019,9.1-3-1,9.1-2-1,82
Cities 2019,2.2-1,2.2-1,2860
Cities 2019,4.6a-3-13,4.6a-3-13,300
Cities 2019,4.6d-4,4.6e-4,41
Cities 2019,4.6a-5-31,4.6a-5-31,300
Cities 2019,4.6b-1-7,4.6b-1-7,146
Cities 2019,4.6a-6-15,4.6a-6-15,300
Cities 2019,10.1-6-1,10.1-6-1,317
Cities 2019,10.3-2-4,10.5-2-4,814
Cities 2019,7.4-0,7.4-0,1216
Cities 2019,4.6a-1-13,4.6a-1-13,300
Cities 2019,4.6b-1-15,4.6b-1-15,146
Cities 2019,4.6a-6-31,4.6a-6-31,300
Cities 2019,4.6a-7-19,4.6a-7-19,300
Cities 2019,4.6a-7-2,4.6a-7-2,300
Cities 2019,3.0-8,3.0-6,3149
Cities 2019,5.4-8,5.4-6,3768
Cities 2019,10.3-1-1,10.5-1-1,814
Cities 2019,4.6a-4-20,4.6a-4-20,300
Cities 2019,4.6a-1-30,4.6a-1-30,300
Cities 2019,9.1-1-3,9.1-1-3,82
Cities 2019,2.1-4,2.1-4,3736
Cities 2019,4.6a-4-5,4.6a-4-5,300
Cities 2019,10.3-1-4,10.5-1-4,814
Cities 2019,4.6a-6-8,4.6a-6-8,300
Cities 2019,4.6a-4-3,4.6a-4-3,300
Cities 2019,10.3-2-5,10.5-2-5,814
Cities 2019,5.0d-7,5.0d-6,127
Cities 2019,4.6a-1-10,4.6a-1-10,300
Cities 2019,4.6a-6-23,4.6a-6-23,300
Cities 2019,4.6a-2-5,4.6a-2-5,300
Cities 2019,5.0a-11,5.0a-10,533
Cities 2019,8.1-3-1,8.2-3-1,318
Cities 2019,4.6a-4-19,4.6a-4-19,300
Cities 2019,10.1-3-1,10.1-3-1,317
Cities 2019,7.7-0,7.7-0,396
Cities 2019,8.1-4-1,8.2-4-1,318
Cities 2019,4.6a-4-17,4.6a-4-17,300
Cities 2019,4.6a-6-22,4.6a-6-22,300
Cities 2019,5.0d-10,5.0d-9,127
Cities 2019,4.6a-7-23,4.6a-7-23,300
Cities 2019,4.6c-1-1,4.6c-1-1,32
Cities 2019,4.6a-3-28,4.6a-3-28,300
Cities 2019,10.1-5-1,10.1-5-1,317
Cities 2019,4.6a-7-9,4.6a-7-9,300
Cities 2019,4.6a-1-22,4.6a-1-22,300
Cities 2019,2.0-0,2.0-0,814
Cities 2019,4.6a-7-12,4.6a-7-12,300
Cities 2019,4.6a-1-27,4.6a-1-27,300
Cities 2019,6.2a-3,6.1a-2,1001
Cities 2019,4.6d-4,4.6f-4,49
Cities 2019,8.0a-9,8.0a-8,381
Cities 2019,4.6a-2-29,4.6a-2-29,300
Cities 2019,4.6a-5-16,4.6a-5-16,300
Cities 2019,4.6a-1-5,4.6a-1-5,300
Cities 2019,4.6a-2-2,4.6a-2-2,300
Cities 2019,4.6a-5-6,4.6a-5-6,300
Cities 2019,4.6a-7-20,4.6a-7-20,300
Cities 2019,4.6a-3-8,4.6a-3-8,300
Cities 2019,4.6a-6-10,4.6a-6-10,300
Cities 2019,5.0d-11,5.0d-10,127
Cities 2019,4.6a-6-18,4.6a-6-18,300
Cities 2019,5.0d-5,5.0d-4,127
Cities 2019,6.2a-1,6.1a-1,1001
Cities 2019,4.6a-2-8,4.6a-2-8,300
Cities 2019,4.6a-3-15,4.6a-3-15,300
Cities 2019,5.0c-13,5.0c-12,55
Cities 2019,4.6a-2-4,4.6a-2-4,300
Cities 2019,4.6a-6-4,4.6a-6-4,300
Cities 2019,4.6a-4-16,4.6a-4-16,300
Cities 2019,3.0-1,3.0-1,3103
Cities 2019,4.6d-3,4.6d-3,16
Cities 2019,14.2a-2,14.3a-2,1199
Cities 2019,3.2-0,3.1-0,814
Cities 2019,10.3-4-5,10.5-4-5,814
Cities 2019,4.6a-3-27,4.6a-3-27,300
Cities 2019,4.6d-3,4.6f-3,49
Cities 2019,4.6a-3-2,4.6a-3-2,300
Cities 2019,4.6b-1-6,4.6b-1-6,146
Cities 2019,4.6a-2-23,4.6a-2-23,300
Cities 2019,4.6a-2-14,4.6a-2-14,300
Cities 2019,10.3-2-3,10.5-2-3,814
Cities 2019,4.6a-5-11,4.6a-5-11,300
Cities 2019,4.6a-2-10,4.6a-2-10,300
Cities 2019,3.2a-5,3.1a-3,643
Cities 2019,13.3-1-2,13.3-1-2,82
Cities 2019,4.6a-5-20,4.6a-5-20,300
Cities 2019,4.6a-7-17,4.6a-7-17,300
Cities 2019,4.6a-6-9,4.6a-6-9,300
Cities 2019,4.6a-4-27,4.6a-4-27,300
Cities 2019,4.6a-4-7,4.6a-4-7,300
Cities 2019,5.0-0,5.0-0,878
Cities 2019,5.0c-7,5.0c-6,55
Cities 2019,4.6a-1-11,4.6a-1-11,300
Cities 2019,10.1-1-1,10.1-1-1,317
Cities 2019,4.6a-3-4,4.6a-3-4,300
Cities 2019,5.0c-10,5.0c-9,55
Cities 2019,4.6a-5-12,4.6a-5-12,300
Cities 2019,3.2a-6,3.1a-4,643
Cities 2019,4.6d-1,4.6f-1,49
Cities 2019,4.6d-4,4.6d-4,16
Cities 2019,4.6a-5-2,4.6a-5-2,300
Cities 2019,4.6a-4-14,4.6a-4-14,300
Cities 2019,4.6b-1-16,4.6b-1-16,146
Cities 2019,4.6a-7-22,4.6a-7-22,300
Cities 2019,2.1-8,2.1-6,3736
Cities 2019,4.6a-1-3,4.6a-1-3,300
Cities 2019,10.3-4-1,10.5-4-1,814
Cities 2019,4.6a-6-29,4.6a-6-29,300
Cities 2019,4.6a-5-30,4.6a-5-30,300
Cities 2019,13.3-1-6,13.3-1-6,82
Cities 2019,4.6a-4-4,4.6a-4-4,300
Cities 2019,0.6-1-1,0.6-1-1,814
Cities 2019,4.6a-5-23,4.6a-5-23,300
Cities 2019,4.6a-4-29,4.6a-4-29,300
Cities 2019,10.3-2-1,10.5-2-1,814
Cities 2019,4.6a-2-7,4.6a-2-7,300
Cities 2019,4.6a-5-1,4.6a-5-1,300
Cities 2019,4.6a-7-11,4.6a-7-11,300
Cities 2019,4.6d-2,4.6d-2,16
Cities 2019,4.6a-3-30,4.6a-3-30,300
Cities 2019,10.3-5-4,10.5-5-4,814
Cities 2019,7.6-3-1,7.6-3-1,396
Cities 2019,2.1-11,2.1-8,3736
Cities 2019,9.1-3-4,9.1-2-4,82
Cities 2019,3.0-4,3.0-4,3149
Cities 2019,4.6a-1-29,4.6a-1-29,300
Cities 2019,4.6a-5-22,4.6a-5-22,300
Cities 2019,13.3-1-1,13.3-1-1,82
Cities 2019,4.6a-6-1,4.6a-6-1,300
Cities 2019,4.6d-3,4.6e-3,41
Cities 2019,10.3-3-2,10.5-3-2,814
Cities 2019,5.5-0,5.5-0,814
Cities 2019,5.0d-6,5.0d-5,127
Cities 2019,4.6a-3-5,4.6a-3-5,300
Cities 2019,4.6a-7-8,4.6a-7-8,300
Cities 2019,4.6c-13-1,4.6c-13-1,32
Cities 2019,14.2a-1,14.3a-1,1199
Cities 2019,5.0c-1,5.0c-1,55
Cities 2019,4.6a-5-27,4.6a-5-27,300
Cities 2019,4.6a-3-12,4.6a-3-12,300
Cities 2019,10.3-4-4,10.5-4-4,814
Cities 2019,4.6a-4-28,4.6a-4-28,300
Cities 2019,4.6a-5-9,4.6a-5-9,300
Cities 2019,4.6a-4-18,4.6a-4-18,300
Cities 2019,4.6a-4-13,4.6a-4-13,300
Cities 2019,5.0b-10,5.0b-8,79
Cities 2019,7.0-0,7.0-0,814
Cities 2019,4.6a-7-14,4.6a-7-14,300
Cities 2019,4.6a-3-7,4.6a-3-7,300
Cities 2019,13.3-1-3,13.3-1-3,82
Cities 2019,8.1-1-1,8.2-1-1,318
Cities 2019,8.1-11-1,8.2-10-1,318
Cities 2019,4.6a-5-5,4.6a-5-5,300
Cities 2019,4.6a-7-5,4.6a-7-5,300
Cities 2019,4.6a-4-23,4.6a-4-23,300
Cities 2019,4.6a-2-1,4.6a-2-1,300
Cities 2019,4.6a-2-26,4.6a-2-26,300
Cities 2019,4.6a-5-29,4.6a-5-29,300
Cities 2019,9.1-3-2,9.1-2-2,82
Cities 2019,4.6a-4-31,4.6a-4-31,300
Cities 2020,4.6a-3-5,4.6a-3-5,776
Cities 2020,4.6a-4-2,4.6a-4-2,776
Cities 2020,4.6a-7-26,4.6a-7-26,776
Cities 2020,4.6a-3-31,4.6a-3-31,776
Cities 2020,4.6a-1-11,4.6a-1-11,776
Cities 2020,14.3-1,14.3-1,1707
Cities 2020,4.6a-4-13,4.6a-4-13,776
Cities 2020,7.6-2-1,7.6-2-1,776
Cities 2020,5.0c-3,5.0c-3,1015
Cities 2020,7.6-3-1,7.6-3-1,776
Cities 2020,4.6a-5-30,4.6a-5-30,776
Cities 2020,5.0c-13,5.0c-12,1015
Cities 2020,8.1-3-1,8.1-3-1,776
Cities 2020,10.1-4-1,10.1-4-1,776
Cities 2020,10.3-3-2,10.4-3-2,776
Cities 2020,5.0-0,5.0-0,842
Cities 2020,8.1-2-1,8.1-2-1,776
Cities 2020,10.1-9-1,10.1-9-1,776
Cities 2020,4.6a-1-12,4.6a-1-12,776
Cities 2020,4.6a-7-16,4.6a-7-16,776
Cities 2020,4.6a-2-17,4.6a-2-17,776
Cities 2020,3.2a-6,3.2a-6,971
Cities 2020,10.3-3-5,10.4-3-5,776
Cities 2020,4.6a-1-13,4.6a-1-13,776
Cities 2020,4.6a-6-23,4.6a-6-23,776
Cities 2020,4.6d-3,4.6d-3,961
Cities 2020,9.1-1-1,9.1-1-1,776
Cities 2020,4.6a-7-31,4.6a-7-31,776
Cities 2020,4.6a-7-13,4.6a-7-13,776
Cities 2020,4.6a-2-6,4.6a-2-6,776
Cities 2020,4.6a-1-15,4.6a-1-15,776
Cities 2020,2.1-1,2.1-1,3641
Cities 2020,14.2a-1,14.2a-1,1780
Cities 2020,5.0b-9,5.0b-7,989
Cities 2020,8.0a-7,8.0a-7,885
Cities 2020,4.6a-6-27,4.6a-6-27,776
Cities 2020,4.6a-5-1,4.6a-5-1,776
Cities 2020,2.1-11,2.1-11,3641
Cities 2020,13.3-1-5,13.3-1-5,776
Cities 2020,4.6a-1-7,4.6a-1-7,776
Cities 2020,10.1-2-1,10.1-2-1,776
Cities 2020,8.0a-9,8.0a-9,885
Cities 2020,10.1-5-1,10.1-5-1,776
Cities 2020,4.6a-6-19,4.6a-6-19,776
Cities 2020,4.6a-1-19,4.6a-1-19,776
Cities 2020,4.6a-7-1,4.6a-7-1,776
Cities 2020,4.6a-2-14,4.6a-2-14,776
Cities 2020,4.6a-7-28,4.6a-7-28,776
Cities 2020,4.6a-7-7,4.6a-7-7,776
Cities 2020,4.6a-3-19,4.6a-3-19,776
Cities 2020,5.0a-11,5.0a-10,1162
Cities 2020,14.3-2,14.3-2,1707
Cities 2020,3.3-3,3.3-3,1933
Cities 2020,4.6a-3-28,4.6a-3-28,776
Cities 2020,8.1-9-1,8.1-9-1,776
Cities 2020,4.6a-7-3,4.6a-7-3,776
Cities 2020,4.6a-4-20,4.6a-4-20,776
Cities 2020,0.4-0,0.4-0,776
Cities 2020,10.3-3-3,10.4-3-3,776
Cities 2020,6.5-9,6.5-9,1629
Cities 2020,4.6a-7-29,4.6a-7-29,776
Cities 2020,10.3-5-1,10.4-5-1,776
Cities 2020,8.1-1-1,8.1-1-1,776
Cities 2020,4.6a-2-28,4.6a-2-28,776
Cities 2020,4.6a-5-9,4.6a-5-9,776
Cities 2020,4.6a-1-9,4.6a-1-9,776
Cities 2020,6.5-4,6.5-4,1629
Cities 2020,3.2a-5,3.2a-5,971
Cities 2020,4.6a-4-4,4.6a-4-4,776
Cities 2020,4.6a-3-6,4.6a-3-6,776
Cities 2020,4.6a-5-2,4.6a-5-2,776
Cities 2020,4.6a-1-30,4.6a-1-30,776
Cities 2020,4.4-0,4.4-0,2111
Cities 2020,4.6a-4-23,4.6a-4-23,776
Cities 2020,4.6a-6-1,4.6a-6-1,776
Cities 2020,9.1-3-3,9.1-3-3,776
Cities 2020,4.6a-7-11,4.6a-7-11,776
Cities 2020,14.2a-3,14.2a-3,1780
Cities 2020,4.6b-1-12,4.6b-1-12,776
Cities 2020,4.6a-5-27,4.6a-5-27,776
Cities 2020,9.1-1-4,9.1-1-4,776
Cities 2020,4.6a-1-27,4.6a-1-27,776
Cities 2020,4.6a-5-5,4.6a-5-5,776
Cities 2020,5.0d-6,5.0d-5,1020
Cities 2020,4.6a-6-8,4.6a-6-8,776
Cities 2020,4.6d-2,4.6e-2,875
Cities 2020,8.2-1-3,8.4-1-4,776
Cities 2020,4.6a-1-25,4.6a-1-25,776
Cities 2020,4.6a-3-3,4.6a-3-3,776
Cities 2020,13.3-1-4,13.3-1-4,776
Cities 2020,5.0a-1,5.0a-1,1162
Cities 2020,4.6d-1,4.6d-1,961
Cities 2020,5.0c-10,5.0c-9,1015
Cities 2020,4.6c-8-1,4.6c-8-1,776
Cities 2020,2.0b-2,2.0b-2,1125
Cities 2020,4.6a-2-13,4.6a-2-13,776
Cities 2020,6.5-7,6.5-7,1629
Cities 2020,4.6a-6-15,4.6a-6-15,776
Cities 2020,4.6a-4-10,4.6a-4-10,776
Cities 2020,4.6a-4-31,4.6a-4-31,776
Cities 2020,4.6a-4-15,4.6a-4-15,776
Cities 2020,13.3-1-6,13.3-1-6,776
Cities 2020,4.6b-1-2,4.6b-1-2,776
Cities 2020,4.6a-6-9,4.6a-6-9,776
Cities 2020,5.0a-6,5.0a-5,1162
Cities 2020,14.1-0,14.1-0,776
Cities 2020,4.6a-4-5,4.6a-4-5,776
Cities 2020,4.6a-4-9,4.6a-4-9,776
Cities 2020,2.0b-4,2.0b-4,1125
Cities 2020,4.6a-1-17,4.6a-1-17,776
Cities 2020,4.6a-6-17,4.6a-6-17,776
Cities 2020,10.3-1-3,10.4-1-3,776
Cities 2020,5.0d-5,5.0d-4,1020
Cities 2020,4.6a-5-29,4.6a-5-29,776
Cities 2020,4.6a-5-25,4.6a-5-25,776
Cities 2020,4.6a-6-6,4.6a-6-6,776
Cities 2020,4.6a-1-18,4.6a-1-18,776
Cities 2020,4.6a-1-31,4.6a-1-31,776
Cities 2020,4.6a-5-15,4.6a-5-15,776
Cities 2020,5.0c-11,5.0c-10,1015
Cities 2020,5.0d-9,5.0d-8,1020
Cities 2020,2.1-5,2.1-5,10283
Cities 2020,4.6a-1-20,4.6a-1-20,776
Cities 2020,4.6a-7-18,4.6a-7-18,776
Cities 2020,4.6b-1-6,4.6b-1-6,776
Cities 2020,10.3-1-1,10.4-1-1,776
Cities 2020,4.9-1-1,4.9-1-1,776
Cities 2020,6.5-3,6.5-3,1629
Cities 2020,5.0c-8,5.0c-7,1015
Cities 2020,5.0a-7,5.0a-6,1162
Cities 2020,4.6a-6-11,4.6a-6-11,776
Cities 2020,6.0-1,6.0-1,2846
Cities 2020,4.6a-2-8,4.6a-2-8,776
Cities 2020,4.6a-1-16,4.6a-1-16,776
Cities 2020,4.6a-4-6,4.6a-4-6,776
Cities 2020,4.6a-7-4,4.6a-7-4,776
Cities 2020,4.6a-3-7,4.6a-3-7,776
Cities 2020,0.6-1-1,0.6-1-1,776
Cities 2020,4.6b-1-13,4.6b-1-13,776
Cities 2020,4.6a-2-26,4.6a-2-26,776
Cities 2020,4.6a-7-6,4.6a-7-6,776
Cities 2020,14.3-4,14.3-4,1707
Cities 2020,4.6a-6-22,4.6a-6-22,776
Cities 2020,10.3-4-2,10.4-4-2,776
Cities 2020,5.0b-5,5.0b-4,989
Cities 2020,4.6a-7-25,4.6a-7-25,776
Cities 2020,4.6a-4-12,4.6a-4-12,776
Cities 2020,4.6a-1-28,4.6a-1-28,776
Cities 2020,4.6a-5-16,4.6a-5-16,776
Cities 2020,4.6a-7-12,4.6a-7-12,776
Cities 2020,4.6a-1-6,4.6a-1-6,776
Cities 2020,5.0d-3,5.0d-3,1020
Cities 2020,6.2-0,6.2-0,776
Cities 2020,4.6a-3-1,4.6a-3-1,776
Cities 2020,7.7-0,7.7-0,776
Cities 2020,8.1-8-1,8.1-8-1,776
Cities 2020,10.3-2-1,10.4-2-1,776
Cities 2020,4.6a-5-26,4.6a-5-26,776
Cities 2020,4.6a-2-18,4.6a-2-18,776
Cities 2020,4.6a-7-9,4.6a-7-9,776
Cities 2020,4.6a-4-16,4.6a-4-16,776
Cities 2020,10.3-1-5,10.4-1-5,776
Cities 2020,4.6a-3-9,4.6a-3-9,776
Cities 2020,4.6a-4-25,4.6a-4-25,776
Cities 2020,10.3-2-5,10.4-2-5,776
Cities 2020,5.0c-5,5.0c-4,1015
Cities 2020,4.6c-13-1,4.6c-13-1,776
Cities 2020,4.6a-2-22,4.6a-2-22,776
Cities 2020,10.1-7-1,10.1-7-1,776
Cities 2020,4.6b-1-15,4.6b-1-15,776
Cities 2020,4.6a-5-18,4.6a-5-18,776
Cities 2020,4.6a-4-19,4.6a-4-19,776
Cities 2020,10.1-3-1,10.1-3-1,776
Cities 2020,5.0d-10,5.0d-9,1020
Cities 2020,4.6b-1-5,4.6b-1-5,776
Cities 2020,10.3-5-3,10.4-5-3,776
Cities 2020,3.0-1,3.0-1,3546
Cities 2020,4.6a-4-18,4.6a-4-18,776
Cities 2020,2.1-9,2.1-9,3641
Cities 2020,0.5-2-1,0.5-2-1,776
Cities 2020,5.0a-8,5.0a-7,1162
Cities 2020,4.6a-5-14,4.6a-5-14,776
Cities 2020,13.3-1-2,13.3-1-2,776
Cities 2020,5.0c-1,5.0c-1,1015
Cities 2020,3.3-1,3.3-1,1933
Cities 2020,14.2a-2,14.2a-2,1780
Cities 2020,4.6a-6-3,4.6a-6-3,776
Cities 2020,4.6a-3-20,4.6a-3-20,776
Cities 2020,4.6a-2-9,4.6a-2-9,776
Cities 2020,4.6a-7-8,4.6a-7-8,776
Cities 2020,4.6a-4-11,4.6a-4-11,776
Cities 2020,4.6a-5-13,4.6a-5-13,776
Cities 2020,10.3-4-1,10.4-4-1,776
Cities 2020,4.6a-6-18,4.6a-6-18,776
Cities 2020,4.6a-5-20,4.6a-5-20,776
Cities 2020,4.6a-5-4,4.6a-5-4,776
Cities 2020,4.6a-6-5,4.6a-6-5,776
Cities 2020,10.3-3-4,10.4-3-4,776
Cities 2020,4.6a-2-1,4.6a-2-1,776
Cities 2020,4.6a-2-7,4.6a-2-7,776
Cities 2020,2.1-4,2.1-4,3641
Cities 2020,4.6a-3-10,4.6a-3-10,776
Cities 2020,4.6c-1-1,4.6c-1-1,776
Cities 2020,4.6a-7-15,4.6a-7-15,776
Cities 2020,10.3-2-3,10.4-2-3,776
Cities 2020,5.0c-6,5.0c-5,1015
Cities 2020,4.6a-1-26,4.6a-1-26,776
Cities 2020,4.6a-3-14,4.6a-3-14,776
Cities 2020,4.6d-3,4.6f-3,898
Cities 2020,5.0c-9,5.0c-8,1015
Cities 2020,2.0-0,2.0-0,776
Cities 2020,4.6a-5-17,4.6a-5-17,776
Cities 2020,4.6b-1-4,4.6b-1-4,776
Cities 2020,4.6d-2,4.6d-2,961
Cities 2020,4.6a-2-30,4.6a-2-30,776
Cities 2020,4.6b-1-8,4.6b-1-8,776
Cities 2020,4.6a-1-4,4.6a-1-4,776
Cities 2020,4.6a-6-20,4.6a-6-20,776
Cities 2020,4.6a-3-12,4.6a-3-12,776
Cities 2020,4.6a-7-27,4.6a-7-27,776
Cities 2020,7.6-4-1,7.6-4-1,776
Cities 2020,4.6a-7-30,4.6a-7-30,776
Cities 2020,10.3-4-5,10.4-4-5,776
Cities 2020,5.4-8,5.4-6,4146
Cities 2020,10.3-4-3,10.4-4-3,776
Cities 2020,4.6d-4,4.6f-4,898
Cities 2020,5.0d-11,5.0d-10,1020
Cities 2020,10.3-5-5,10.4-5-5,776
Cities 2020,4.6a-6-12,4.6a-6-12,776
Cities 2020,4.6a-5-12,4.6a-5-12,776
Cities 2020,4.6a-5-28,4.6a-5-28,776
Cities 2020,6.13-1-1,6.15-1-1,776
Cities 2020,4.6a-2-15,4.6a-2-15,776
Cities 2020,4.6a-6-7,4.6a-6-7,776
Cities 2020,4.6a-1-22,4.6a-1-22,776
Cities 2020,4.6a-4-30,4.6a-4-30,776
Cities 2020,2.0b-7,2.0b-7,1125
Cities 2020,7.2-0,7.2-0,776
Cities 2020,4.6a-6-25,4.6a-6-25,776
Cities 2020,4.6a-5-7,4.6a-5-7,776
Cities 2020,5.0c-12,5.0c-11,1015
Cities 2020,4.6a-4-22,4.6a-4-22,776
Cities 2020,4.6a-6-10,4.6a-6-10,776
Cities 2020,4.6a-4-27,4.6a-4-27,776
Cities 2020,4.6a-7-20,4.6a-7-20,776
Cities 2020,4.6a-2-16,4.6a-2-16,776
Cities 2020,4.6a-4-14,4.6a-4-14,776
Cities 2020,2.2-2,2.2-2,3186
Cities 2020,4.6a-5-11,4.6a-5-11,776
Cities 2020,8.1-11-1,8.1-10-1,776
Cities 2020,5.0b-3,5.0b-3,989
Cities 2020,4.6a-3-2,4.6a-3-2,776
Cities 2020,11.0-0,11.0-0,776
Cities 2020,4.6d-4,4.6d-4,961
Cities 2020,5.0c-7,5.0c-6,1015
Cities 2020,8.1-7-1,8.1-7-1,776
Cities 2020,5.0b-1,5.0b-1,989
Cities 2020,4.6b-1-14,4.6b-1-14,776
Cities 2020,3.2a-1,3.2a-1,971
Cities 2020,3.3-4,3.3-4,1933
Cities 2020,9.1-3-1,9.1-3-1,776
Cities 2020,13.3-1-1,13.3-1-1,776
Cities 2020,4.6a-2-11,4.6a-2-11,776
Cities 2020,4.6a-4-8,4.6a-4-8,776
Cities 2020,4.6a-2-20,4.6a-2-20,776
Cities 2020,3.0-2,3.0-2,3546
Cities 2020,4.6a-4-17,4.6a-4-17,776
Cities 2020,8.1-5-1,8.1-5-1,776
Cities 2020,4.6b-1-16,4.6b-1-16,776
Cities 2020,3.2-0,3.2-0,776
Cities 2020,4.6a-3-15,4.6a-3-15,776
Cities 2020,6.2a-3,6.2a-3,1623
Cities 2020,14.2a-5,14.2a-5,1780
Cities 2020,5.0a-3,5.0a-3,1162
Cities 2020,4.6c-3-1,4.6c-3-1,776
Cities 2020,2.0b-6,2.0b-6,1125
Cities 2020,4.6a-3-27,4.6a-3-27,776
Cities 2020,8.1-4-1,8.1-4-1,776
Cities 2020,10.3-2-4,10.4-2-4,776
Cities 2020,4.6b-1-7,4.6b-1-7,776
Cities 2020,10.3-5-2,10.4-5-2,776
Cities 2020,4.6a-7-5,4.6a-7-5,776
Cities 2020,4.6a-6-29,4.6a-6-29,776
Cities 2020,4.6a-2-4,4.6a-2-4,776
Cities 2020,4.6a-4-3,4.6a-4-3,776
Cities 2020,4.6a-4-26,4.6a-4-26,776
Cities 2020,4.6a-2-23,4.6a-2-23,776
Cities 2020,4.6a-1-1,4.6a-1-1,776
