Questionnaire,q_id,q_id_orig,count
Cities 2020,4.6a-7-22,4.6a-7-22,776
Cities 2020,9.1-1-3,9.1-1-3,776
Cities 2020,10.1-1-1,10.1-1-1,776
Cities 2020,4.6a-6-26,4.6a-6-26,776
Cities 2020,4.6a-6-4,4.6a-6-4,776
Cities 2020,5.0d-7,5.0d-6,1020
Cities 2020,4.6a-2-31,4.6a-2-31,776
Cities 2020,4.6a-5-23,4.6a-5-23,776
Cities 2020,3.2a-3,3.2a-3,4141
Cities 2020,5.0d-8,5.0d-7,1020
Cities 2020,4.6a-2-27,4.6a-2-27,776
Cities 2020,4.6a-4-28,4.6a-4-28,776
Cities 2020,8.0a-4,8.0a-4,885
Cities 2020,4.6a-1-2,4.6a-1-2,776
Cities 2020,8.0a-3,8.0a-2,885
Cities 2020,4.6a-1-23,4.6a-1-23,776
Cities 2020,4.6a-3-17,4.6a-3-17,776
Cities 2020,10.3-5-4,10.4-5-4,776
Cities 2020,4.6a-3-16,4.6a-3-16,776
Cities 2020,4.6a-6-30,4.6a-6-30,776
Cities 2020,4.6d-1,4.6e-1,875
Cities 2020,2.1-6,2.1-6,14958
Cities 2020,4.6a-1-29,4.6a-1-29,776
Cities 2020,5.0a-9,5.0a-8,1162
Cities 2020,4.6a-2-5,4.6a-2-5,776
Cities 2020,4.6a-3-18,4.6a-3-18,776
Cities 2020,4.6a-1-10,4.6a-1-10,776
Cities 2020,4.6a-4-1,4.6a-4-1,776
Cities 2020,9.1-1-2,9.1-1-2,776
Cities 2020,4.6a-3-30,4.6a-3-30,776
Cities 2020,4.6b-1-1,4.6b-1-1,776
Cities 2020,4.6a-3-13,4.6a-3-13,776
Cities 2020,4.6a-2-10,4.6a-2-10,776
Cities 2020,5.0b-8,5.0b-6,989
Cities 2020,4.6a-5-10,4.6a-5-10,776
Cities 2020,7.7a-2,7.7a-2,960
Cities 2020,4.6a-3-29,4.6a-3-29,776
Cities 2020,3.0-4,3.0-4,3546
Cities 2020,8.0-0,8.0-0,776
Cities 2020,4.6b-1-9,4.6b-1-9,776
Cities 2020,4.6a-5-19,4.6a-5-19,776
Cities 2020,4.6a-3-25,4.6a-3-25,776
Cities 2020,7.0-0,7.0-0,776
Cities 2020,4.6a-3-8,4.6a-3-8,776
Cities 2020,5.0b-10,5.0b-8,989
Cities 2020,5.5-0,5.5-0,776
Cities 2020,9.1-3-2,9.1-3-2,776
Cities 2020,4.6a-6-16,4.6a-6-16,776
Cities 2020,4.6a-5-31,4.6a-5-31,776
Cities 2020,3.0-8,3.0-8,3546
Cities 2020,4.6a-1-8,4.6a-1-8,776
Cities 2020,13.2-0,13.2-0,776
Cities 2020,7.4-0,7.4-0,946
Cities 2020,4.0-0,4.0-0,776
Cities 2020,10.1-6-1,10.1-6-1,776
Cities 2020,10.3-1-4,10.4-1-4,776
Cities 2020,4.6b-1-10,4.6b-1-10,776
Cities 2020,4.6a-7-10,4.6a-7-10,776
Cities 2020,4.6a-3-22,4.6a-3-22,776
Cities 2020,10.3-1-2,10.4-1-2,776
Cities 2020,8.1-6-1,8.1-6-1,776
Cities 2020,4.6a-7-19,4.6a-7-19,776
Cities 2020,4.6a-7-2,4.6a-7-2,776
Cities 2020,4.6a-7-14,4.6a-7-14,776
Cities 2020,4.6a-4-29,4.6a-4-29,776
Cities 2020,4.6b-1-3,4.6b-1-3,776
Cities 2020,4.6a-2-19,4.6a-2-19,776
Cities 2020,2.1-8,2.1-8,3641
Cities 2020,4.6a-7-17,4.6a-7-17,776
Cities 2020,4.6a-3-4,4.6a-3-4,776
Cities 2020,13.3-1-3,13.3-1-3,776
Cities 2020,4.6a-7-23,4.6a-7-23,776
Cities 2020,5.0d-1,5.0d-1,1020
Cities 2020,4.6a-6-31,4.6a-6-31,776
Cities 2020,2.2-4,2.2-4,3186
Cities 2020,4.6a-1-5,4.6a-1-5,776
Cities 2020,10.3-3-1,10.4-3-1,776
Cities 2020,4.6d-4,4.6e-4,875
Cities 2020,4.6a-6-13,4.6a-6-13,776
Cities 2020,4.6d-1,4.6f-1,898
Cities 2020,5.0a-5,5.0a-4,1162
Cities 2020,4.6a-2-29,4.6a-2-29,776
Cities 2020,2.1-3,2.1-3,3641
Cities 2020,4.6a-5-6,4.6a-5-6,776
Cities 2020,9.1-3-4,9.1-3-4,776
Cities 2020,4.6a-3-26,4.6a-3-26,776
Cities 2020,4.6d-3,4.6e-3,875
Cities 2020,4.6b-1-17,4.6b-1-17,776
Cities 2020,4.6a-3-23,4.6a-3-23,776
Cities 2020,4.6a-4-7,4.6a-4-7,776
Cities 2020,4.6a-2-25,4.6a-2-25,776
Cities 2020,3.2a-9,3.2a-9,971
Cities 2020,6.0-2,6.0-2,2846
Cities 2020,4.6a-6-14,4.6a-6-14,776
Cities 2020,4.6a-6-2,4.6a-6-2,776
Cities 2020,7.3-1-1,7.3-1-1,776
Cities 2020,4.6a-5-8,4.6a-5-8,776
Cities 2020,4.6b-1-11,4.6b-1-11,776
Cities 2020,4.6a-2-2,4.6a-2-2,776
Cities 2020,4.6a-5-3,4.6a-5-3,776
Cities 2020,4.6d-2,4.6f-2,898
Cities 2020,0.5-3-1,0.5-3-1,776
Cities 2020,2.2-1,2.2-1,3186
Cities 2020,14.0-0,14.0-0,1167
Cities 2020,4.6a-5-22,4.6a-5-22,776
Cities 2020,4.6a-2-12,4.6a-2-12,776
Cities 2020,4.6a-1-3,4.6a-1-3,776
Cities 2020,10.3-4-4,10.4-4-4,776
Cities 2020,5.4-7,5.4-5,4146
Cities 2020,8.0a-6,8.0a-6,885
Cities 2020,2.1-7,2.1-7,11917
Cities 2020,4.6a-2-3,4.6a-2-3,776
Cities 2020,5.0b-7,5.0b-5,989
Cities 2020,4.6a-1-14,4.6a-1-14,776
Cities 2020,10.3-2-2,10.4-2-2,776
Cities 2020,0.1-1-1,0.1-1-1,776
Cities 2020,6.2a-1,6.2a-1,1623
Cities 2020,4.6a-3-11,4.6a-3-11,776
Cities 2020,4.6a-6-28,4.6a-6-28,776
Cities 2021,4.6b-1-5,4.6b-1-5,1070
Cities 2021,10.3-2-4,10.3-2-4,1070
Cities 2021,9.1-1-1,9.1-1-1,1070
Cities 2021,4.6a-5-15,4.6a-5-15,1070
Cities 2021,6.0-2,6.0-2,3965
Cities 2021,4.6a-2-26,4.6a-2-26,1070
Cities 2021,14.3-2,14.3-2,2222
Cities 2021,10.3-1-1,10.3-1-1,1070
Cities 2021,4.6a-2-22,4.6a-2-22,1070
Cities 2021,4.6a-4-19,4.6a-4-19,1070
Cities 2021,8.1-8-1,8.1-8-1,1070
Cities 2021,4.6a-3-30,4.6a-3-30,1070
Cities 2021,4.6b-1-14,4.6b-1-14,1070
Cities 2021,2.1-1,2.1-1,4163
Cities 2021,4.6a-5-27,4.6a-5-27,1070
Cities 2021,4.6a-3-26,4.6a-3-26,1070
Cities 2021,10.3-1-3,10.3-1-3,1070
Cities 2021,5.0a-3,5.0a-3,1531
Cities 2021,4.6a-5-7,4.6a-5-7,1070
Cities 2021,4.6c-8-1,4.6c-8-1,1070
Cities 2021,5.0b-3,5.0b-3,1306
Cities 2021,4.6a-1-7,4.6a-1-7,1070
Cities 2021,4.6a-5-1,4.6a-5-1,1070
Cities 2021,4.6a-3-15,4.6a-3-15,1070
Cities 2021,8.1-2-1,8.1-2-1,1070
Cities 2021,4.6a-7-19,4.6a-7-19,1070
Cities 2021,4.6a-6-4,4.6a-6-4,1070
Cities 2021,4.6a-3-8,4.6a-3-8,1070
Cities 2021,4.6b-1-16,4.6b-1-16,1070
Cities 2021,5.0d-3,5.0d-3,1345
Cities 2021,4.6a-5-3,4.6a-5-3,1070
Cities 2021,4.6a-6-23,4.6a-6-23,1070
Cities 2021,5.0d-6,5.0d-6,1345
Cities 2021,10.1-4-1,10.1-4-1,1070
Cities 2021,5.0d-1,5.0d-1,1345
Cities 2021,4.6a-6-26,4.6a-6-26,1070
Cities 2021,3.0-2,3.0-2,4858
Cities 2021,4.6a-7-22,4.6a-7-22,1070
Cities 2021,3.2a-6,3.2a-6,1381
Cities 2021,4.6a-3-9,4.6a-3-9,1070
Cities 2021,4.6a-1-28,4.6a-1-28,1070
Cities 2021,4.6a-1-26,4.6a-1-26,1070
Cities 2021,3.3-3,3.3-3,2996
Cities 2021,4.6a-6-11,4.6a-6-11,1070
Cities 2021,10.3-1-2,10.3-1-2,1070
Cities 2021,4.6a-7-15,4.6a-7-15,1070
Cities 2021,4.6a-1-3,4.6a-1-3,1070
Cities 2021,4.6a-6-1,4.6a-6-1,1070
Cities 2021,4.6a-2-31,4.6a-2-31,1070
Cities 2021,4.6a-2-12,4.6a-2-12,1070
Cities 2021,2.0-0,2.0-0,1070
Cities 2021,4.6a-6-2,4.6a-6-2,1070
Cities 2021,5.0c-9,5.0c-9,1322
Cities 2021,4.0-0,4.0-0,1070
Cities 2021,4.6a-7-20,4.6a-7-20,1070
Cities 2021,4.6a-3-20,4.6a-3-20,1070
Cities 2021,10.3-2-1,10.3-2-1,1070
Cities 2021,2.0b-6,2.0b-6,1529
Cities 2021,4.6d-4,4.6d-4,1318
Cities 2021,5.0c-3,5.0c-3,1322
Cities 2021,13.3-1-2,13.3-1-2,1070
Cities 2021,13.3-1-4,13.3-1-4,1070
Cities 2021,4.6d-2,4.6e-2,1176
Cities 2021,9.1-1-2,9.1-1-2,1070
Cities 2021,5.0d-5,5.0d-5,1345
Cities 2021,13.3-1-1,13.3-1-1,1070
Cities 2021,4.6a-4-10,4.6a-4-10,1070
Cities 2021,4.6a-6-25,4.6a-6-25,1070
Cities 2021,4.6a-3-28,4.6a-3-28,1070
Cities 2021,14.1-0,14.1-0,1070
Cities 2021,5.0d-7,5.0d-7,1345
Cities 2021,4.6a-1-8,4.6a-1-8,1070
Cities 2021,10.3-5-2,10.3-5-2,1070
Cities 2021,2.0b-2,2.0b-2,1529
Cities 2021,10.3-4-4,10.3-4-4,1070
Cities 2021,2.1-5,2.1-5,12672
Cities 2021,4.6a-5-26,4.6a-5-26,1070
Cities 2021,4.6b-1-11,4.6b-1-11,1070
Cities 2021,3.3-4,3.3-4,2996
Cities 2021,4.6a-7-5,4.6a-7-5,1070
Cities 2021,10.1-1-1,10.1-1-1,1070
Cities 2021,4.6a-7-4,4.6a-7-4,1070
Cities 2021,7.0-0,7.0-0,1070
Cities 2021,10.1-2-1,10.1-2-1,1070
Cities 2021,4.6a-6-6,4.6a-6-6,1070
Cities 2021,4.6c-3-1,4.6c-3-1,1070
Cities 2021,4.6a-6-22,4.6a-6-22,1070
Cities 2021,4.6a-2-13,4.6a-2-13,1070
Cities 2021,4.6a-3-19,4.6a-3-19,1070
Cities 2021,4.6b-1-6,4.6b-1-6,1070
Cities 2021,10.3-2-2,10.3-2-2,1070
Cities 2021,5.0c-8,5.0c-8,1322
Cities 2021,0.4-0,0.4-0,1070
Cities 2021,4.6a-1-22,4.6a-1-22,1070
Cities 2021,4.6b-1-7,4.6b-1-7,1070
Cities 2021,3.2a-9,3.2a-9,1381
Cities 2021,10.3-3-1,10.3-3-1,1070
Cities 2021,4.6a-7-8,4.6a-7-8,1070
Cities 2021,4.6a-6-9,4.6a-6-9,1070
Cities 2021,10.3-2-5,10.3-2-5,1070
Cities 2021,8.1-1-1,8.1-1-1,1070
Cities 2021,4.6a-1-13,4.6a-1-13,1070
Cities 2021,4.6a-1-10,4.6a-1-10,1070
Cities 2021,4.6a-4-14,4.6a-4-14,1070
Cities 2021,2.1-9,2.1-9,4163
Cities 2021,10.3-4-2,10.3-4-2,1070
Cities 2021,4.6a-5-14,4.6a-5-14,1070
Cities 2021,3.0-1,3.0-1,4858
Cities 2021,4.6a-2-2,4.6a-2-2,1070
Cities 2021,4.6a-5-22,4.6a-5-22,1070
Cities 2021,4.6d-3,4.6e-3,1176
Cities 2021,4.6a-3-11,4.6a-3-11,1070
Cities 2021,4.6a-6-15,4.6a-6-15,1070
Cities 2021,4.6a-1-31,4.6a-1-31,1070
Cities 2021,10.3-5-1,10.3-5-1,1070
Cities 2021,7.7a-2,7.7a-2,1272
Cities 2021,4.6a-4-7,4.6a-4-7,1070
Cities 2021,4.6a-7-27,4.6a-7-27,1070
Cities 2021,4.6a-1-20,4.6a-1-20,1070
Cities 2021,8.0a-9,8.0a-9,1281
Cities 2021,4.6a-3-17,4.6a-3-17,1070
Cities 2021,4.6a-3-10,4.6a-3-10,1070
Cities 2021,4.6a-6-13,4.6a-6-13,1070
Cities 2021,5.0c-13,5.0c-13,1322
Cities 2021,4.6a-4-16,4.6a-4-16,1070
Cities 2021,4.6a-6-19,4.6a-6-19,1070
Cities 2021,4.6a-7-13,4.6a-7-13,1070
Cities 2021,4.6a-6-3,4.6a-6-3,1070
Cities 2021,4.6d-3,4.6f-3,1507
Cities 2021,4.6a-3-5,4.6a-3-5,1070
Cities 2021,5.4-7,5.4-7,6814
Cities 2021,14.2a-1,14.2a-1,2349
Cities 2021,4.6a-1-16,4.6a-1-16,1070
Cities 2021,10.3-3-5,10.3-3-5,1070
Cities 2021,4.6a-5-25,4.6a-5-25,1070
Cities 2021,5.4-8,5.4-8,6814
Cities 2021,4.6a-1-6,4.6a-1-6,1070
Cities 2021,5.0b-8,5.0b-8,1306
Cities 2021,2.0b-4,2.0b-4,1529
Cities 2021,4.6a-1-30,4.6a-1-30,1070
Cities 2021,8.0-0,8.0-0,1070
Cities 2021,5.0c-5,5.0c-5,1322
Cities 2021,4.6a-2-9,4.6a-2-9,1070
Cities 2021,4.6a-2-30,4.6a-2-30,1070
Cities 2021,4.6d-4,4.6f-4,1507
Cities 2021,4.6b-1-2,4.6b-1-2,1070
Cities 2021,4.6a-4-15,4.6a-4-15,1070
Cities 2021,5.0d-10,5.0d-10,1345
Cities 2021,4.6a-3-6,4.6a-3-6,1070
Cities 2021,5.0b-5,5.0b-5,1306
Cities 2021,14.3-4,14.3-4,2222
Cities 2021,4.6a-5-9,4.6a-5-9,1070
Cities 2021,5.0a-1,5.0a-1,1531
Cities 2021,6.5-9,6.5-9,2156
Cities 2021,5.0d-8,5.0d-8,1345
Cities 2021,4.6a-7-26,4.6a-7-26,1070
Cities 2021,4.6a-7-23,4.6a-7-23,1070
Cities 2021,5.0c-7,5.0c-7,1322
Cities 2021,4.6a-1-23,4.6a-1-23,1070
Cities 2021,4.6a-2-28,4.6a-2-28,1070
Cities 2021,4.6a-1-5,4.6a-1-5,1070
Cities 2021,4.6a-4-2,4.6a-4-2,1070
Cities 2021,5.0a-9,5.0a-9,1531
Cities 2021,10.3-1-4,10.3-1-4,1070
Cities 2021,4.6a-2-25,4.6a-2-25,1070
Cities 2021,4.9-1-1,4.9-1-1,1070
Cities 2021,4.6b-1-10,4.6b-1-10,1070
Cities 2021,4.6a-4-11,4.6a-4-11,1070
Cities 2021,4.6b-1-12,4.6b-1-12,1070
Cities 2021,9.1-1-3,9.1-1-3,1070
Cities 2021,4.6a-7-25,4.6a-7-25,1070
Cities 2021,0.5-3-1,0.5-3-1,1070
Cities 2021,8.1-11-1,8.1-11-1,1070
Cities 2021,10.3-3-4,10.3-3-4,1070
Cities 2021,2.2-4,2.2-4,4141
Cities 2021,9.1-3-2,9.1-3-2,1070
Cities 2021,4.6a-5-12,4.6a-5-12,1070
Cities 2021,5.0a-7,5.0a-7,1531
Cities 2021,0.5-2-1,0.5-2-1,1070
Cities 2021,4.6a-6-18,4.6a-6-18,1070
Cities 2021,10.3-3-3,10.3-3-3,1070
Cities 2021,4.6a-1-12,4.6a-1-12,1070
Cities 2021,4.6a-3-16,4.6a-3-16,1070
Cities 2021,8.0a-7,8.0a-7,1281
Cities 2021,4.6a-3-14,4.6a-3-14,1070
Cities 2021,8.0a-3,8.0a-3,1281
Cities 2021,4.6a-1-9,4.6a-1-9,1070
Cities 2021,4.6a-2-7,4.6a-2-7,1070
Cities 2021,4.6a-4-27,4.6a-4-27,1070
Cities 2021,4.6a-5-30,4.6a-5-30,1070
Cities 2021,4.6a-1-29,4.6a-1-29,1070
Cities 2021,4.6a-1-19,4.6a-1-19,1070
Cities 2021,8.1-5-1,8.1-5-1,1070
Cities 2021,4.6a-3-4,4.6a-3-4,1070
Cities 2021,9.1-3-4,9.1-3-4,1070
Cities 2021,5.0c-12,5.0c-12,1322
Cities 2021,8.2-1-3,8.2-1-3,1070
Cities 2021,3.2-0,3.2-0,1070
Cities 2021,4.6a-1-17,4.6a-1-17,1070
Cities 2021,4.6a-5-29,4.6a-5-29,1070
Cities 2021,4.6a-3-7,4.6a-3-7,1070
Cities 2021,4.6a-6-14,4.6a-6-14,1070
Cities 2021,4.6a-7-10,4.6a-7-10,1070
Cities 2021,5.0b-10,5.0b-10,1306
Cities 2021,2.1-6,2.1-6,18176
Cities 2021,3.2a-1,3.2a-1,1381
Cities 2021,4.6a-3-23,4.6a-3-23,1070
Cities 2021,4.6a-7-3,4.6a-7-3,1070
Cities 2021,8.1-7-1,8.1-7-1,1070
Cities 2021,10.1-3-1,10.1-3-1,1070
Cities 2021,4.6a-7-1,4.6a-7-1,1070
Cities 2021,7.6-2-1,7.6-2-1,1070
Cities 2021,4.6a-2-10,4.6a-2-10,1070
Cities 2021,9.1-3-3,9.1-3-3,1070
Cities 2021,4.6a-2-16,4.6a-2-16,1070
Cities 2021,4.6a-5-20,4.6a-5-20,1070
Cities 2021,8.0a-6,8.0a-6,1281
Cities 2021,4.6a-7-31,4.6a-7-31,1070
Cities 2021,4.6a-5-2,4.6a-5-2,1070
Cities 2021,4.6a-5-18,4.6a-5-18,1070
Cities 2021,10.1-9-1,10.1-9-1,1070
Cities 2021,10.3-4-1,10.3-4-1,1070
Cities 2021,4.4-0,4.4-0,2901
Cities 2021,0.6-1-1,0.6-1-1,1070
Cities 2021,5.0a-11,5.0a-11,1531
Cities 2021,4.6a-7-30,4.6a-7-30,1070
Cities 2021,4.6a-6-17,4.6a-6-17,1070
Cities 2021,0.1-1-1,0.1-1-1,1070
Cities 2021,10.3-5-4,10.3-5-4,1070
Cities 2021,4.6a-1-4,4.6a-1-4,1070
Cities 2021,10.3-4-3,10.3-4-3,1070
Cities 2021,3.0-8,3.0-8,4858
Cities 2021,4.6d-1,4.6f-1,1507
Cities 2021,4.6a-3-29,4.6a-3-29,1070
Cities 2021,8.1-6-1,8.1-6-1,1070
Cities 2021,14.0-0,14.0-0,1601
Cities 2021,4.6b-1-8,4.6b-1-8,1070
Cities 2021,4.6a-4-26,4.6a-4-26,1070
Cities 2021,10.3-3-2,10.3-3-2,1070
Cities 2021,4.6a-4-23,4.6a-4-23,1070
Cities 2021,4.6a-5-16,4.6a-5-16,1070
Cities 2021,4.6a-5-17,4.6a-5-17,1070
Cities 2021,8.0a-4,8.0a-4,1281
Cities 2021,4.6c-13-1,4.6c-13-1,1070
Cities 2021,4.6a-7-2,4.6a-7-2,1070
Cities 2021,13.3-1-6,13.3-1-6,1070
Cities 2021,4.6a-3-2,4.6a-3-2,1070
Cities 2021,11.0-0,11.0-0,1070
Cities 2021,4.6a-7-18,4.6a-7-18,1070
Cities 2021,4.6a-5-4,4.6a-5-4,1070
Cities 2021,4.6d-2,4.6d-2,1318
Cities 2021,4.6a-3-31,4.6a-3-31,1070
Cities 2021,3.3-1,3.3-1,2996
Cities 2021,7.6-4-1,7.6-4-1,1070
Cities 2021,4.6a-6-5,4.6a-6-5,1070
Cities 2021,7.2-0,7.2-0,1070
Cities 2021,7.7-0,7.7-0,1070
Cities 2021,4.6a-1-18,4.6a-1-18,1070
Cities 2021,4.6a-3-22,4.6a-3-22,1070
Cities 2021,2.0b-7,2.0b-7,1529
Cities 2021,8.1-9-1,8.1-9-1,1070
Cities 2021,10.3-5-3,10.3-5-3,1070
Cities 2021,4.6a-2-11,4.6a-2-11,1070
Cities 2021,4.6a-6-8,4.6a-6-8,1070
Cities 2021,2.2-1,2.2-1,4141
Cities 2021,2.2-2,2.2-2,4141
Cities 2021,6.2-0,6.2-0,1070
Cities 2021,4.6a-2-19,4.6a-2-19,1070
Cities 2021,4.6a-6-16,4.6a-6-16,1070
Cities 2021,4.6a-4-5,4.6a-4-5,1070
Cities 2021,4.6a-3-18,4.6a-3-18,1070
Cities 2021,4.6a-5-8,4.6a-5-8,1070
Cities 2021,4.6a-4-3,4.6a-4-3,1070
Cities 2021,5.0b-9,5.0b-9,1306
Cities 2021,4.6a-5-11,4.6a-5-11,1070
Cities 2021,4.6b-1-4,4.6b-1-4,1070
Cities 2021,4.6a-6-30,4.6a-6-30,1070
Cities 2021,5.0-0,5.0-0,1175
Cities 2021,13.3-1-5,13.3-1-5,1070
Cities 2021,4.6a-7-9,4.6a-7-9,1070
Cities 2021,5.0b-7,5.0b-7,1306
Cities 2021,14.3-1,14.3-1,2222
Cities 2021,4.6a-4-22,4.6a-4-22,1070
Cities 2021,4.6a-1-1,4.6a-1-1,1070
Cities 2021,6.2a-3,6.2a-3,2606
Cities 2021,4.6d-3,4.6d-3,1318
Cities 2021,4.6b-1-17,4.6b-1-17,1070
Cities 2021,4.6a-6-29,4.6a-6-29,1070
Cities 2021,4.6a-4-4,4.6a-4-4,1070
Cities 2021,4.6b-1-1,4.6b-1-1,1070
Cities 2021,4.6a-5-5,4.6a-5-5,1070
Cities 2021,6.0-1,6.0-1,3965
Cities 2021,4.6a-2-27,4.6a-2-27,1070
Cities 2021,4.6a-2-6,4.6a-2-6,1070
Cities 2021,13.3-1-3,13.3-1-3,1070
Cities 2021,5.0c-10,5.0c-10,1322
Cities 2021,5.0c-6,5.0c-6,1322
Cities 2021,9.1-3-1,9.1-3-1,1070
Cities 2021,4.6c-1-1,4.6c-1-1,1070
Cities 2021,4.6a-6-20,4.6a-6-20,1070
Cities 2021,10.3-4-5,10.3-4-5,1070
Cities 2021,4.6a-4-18,4.6a-4-18,1070
Cities 2021,4.6a-4-31,4.6a-4-31,1070
Cities 2021,4.6a-7-17,4.6a-7-17,1070
Cities 2021,10.3-2-3,10.3-2-3,1070
Cities 2021,10.1-7-1,10.1-7-1,1070
Cities 2021,4.6a-4-25,4.6a-4-25,1070
Cities 2021,4.6a-4-12,4.6a-4-12,1070
Cities 2021,14.2a-5,14.2a-5,2349
Cities 2021,4.6a-6-12,4.6a-6-12,1070
Cities 2021,10.3-5-5,10.3-5-5,1070
Cities 2021,4.6a-1-25,4.6a-1-25,1070
Cities 2021,4.6a-4-17,4.6a-4-17,1070
Cities 2021,4.6b-1-15,4.6b-1-15,1070
Cities 2021,6.5-7,6.5-7,2156
Cities 2021,4.6a-2-1,4.6a-2-1,1070
Cities 2021,2.1-11,2.1-11,4163
Cities 2021,4.6b-1-3,4.6b-1-3,1070
Cities 2021,4.6a-2-14,4.6a-2-14,1070
Cities 2021,4.6a-5-23,4.6a-5-23,1070
Cities 2021,5.0d-11,5.0d-11,1345
Cities 2021,10.3-1-5,10.3-1-5,1070
Cities 2021,2.1-7,2.1-7,15210
Cities 2021,4.6a-7-16,4.6a-7-16,1070
Cities 2021,4.6a-4-29,4.6a-4-29,1070
